State	Pct.Renewable incl Hydro	Pct.Renewable w/o Hydro	Ren Elec(GW-h)	non Ren Elec	Ren Elec w/o Hydro (GW-h)	Total Elect (GW-h)
Vermont	99.8	44.3	1898	3	842	1901
Idaho	78.6	19.6	12584	3427	3138	16011
Washington	77.1	8.9	86902	25882	10059	112784
Oregon	70.9	14.2	42122	17303	8422	59425
South Dakota	70.2	30.4	7280	3083	3146	10363
Maine	63.6	38.1	7408	4242	4440	11650
Montana	43.8	7.6	12334	15819	2151	28153
California	40.3	25.8	80208	118830	51263	199038
Iowa	38.8	37.1	21261	33532	20305	54793
Alaska	32.6	3.97	1764	3653	215	5417
Kansas	29.7	29.7	14187	33518	14187	47705
Oklahoma	28.6	25.5	22226	55514	19844	77740
North Dakota	26.6	21.5	10003	27579	8091	37582
New York	24.6	4.78	33016	101233	6412	134249
Minnesota	22.2	20.7	13348	46800	12464	60148
Colorado	22	18.5	11981	42413	10063	54394
Nevada	21.6	17.1	8531	31018	6764	39549
New Hampshire	16.8	11	3243	16006	2122	19249
Hawaii	14.9	13.7	1436	8171	1318	9607
Nebraska	14.9	10.4	5618	31985	3893	37603
New Mexico	13.9	13.5	4598	28412	4452	33010
Texas	13.4	13.2	61140	394392	60037	455532
Wyoming	11.6	9.4	5361	40931	4363	46292
Arizona	10.7	4.15	11673	97097	4515	108770
Tennessee	10.7	1.41	8544	71491	1126	80035
Massachusetts	9	6.6	2908	29545	2138	32453
Utah	8.3	6.1	3131	34660	2315	37791
Wisconsin	8.3	4.55	5351	59446	2946	64797
North Carolina	8.2	4.78	10812	120674	6283	131486
Arkansas	8	2.37	4842	55575	1432	60417
Michigan	7.8	6.4	8761	103958	7213	112719
Alabama	7.7	2.3	11010	132012	3289	143022
Maryland	7.3	3.59	2735	34547	1338	37282
Georgia	6.5	4.17	8645	124673	5563	133318
Virginia	6.1	4.49	5672	86767	4146	92439
Illinois	6.1	6	11388	175551	11259	186939
Indiana	5.9	5.5	6038	95786	5623	101824
South Carolina	4.93	2.45	4777	92193	2378	96970
Kentucky	4.87	0.58	3914	76431	464	80345
Rhode Island	3.92	3.92	258	6330	258	6588
Pennsylvania	3.87	2.76	8311	206500	5935	214811
West Virginia	3.76	1.9	2847	72779	1437	75626
Louisiana	3.55	2.52	3790	102898	2687	106688
Connecticut	3.28	2.5	1197	35258	911	36455
Missouri	3.23	1.66	2547	76358	1310	78905
New Jersey	2.61	2.61	2027	75593	2027	77620
Mississippi	2.37	2.37	1494	61412	1494	62906
Ohio	2.19	1.76	2619	116737	2102	119356
Florida	2.16	2.06	5132	232962	4913	238094
Delaware	1.55	1.55	136	8629	136	8765
